RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,JoinDate,Exited,ChurnDate
122,15634723,Williams,833,France,Female,76,43,241690.61738317274,4,0,0,65384.13158144514,2021-11-30,0,
123,15634724,Williams,664,France,Male,82,5,195976.87365076778,1,0,0,171344.45519919525,2022-03-26,0,
124,15634725,Brown,666,Germany,Female,22,34,249383.9957704224,1,1,0,64466.19355618845,2019-01-15,0,
125,15634726,Brown,643,France,Male,97,36,190716.6760541459,4,1,0,93955.2747841216,2019-03-06,0,
126,15634727,Smith,595,France,Male,37,3,191213.41444402043,1,1,1,118905.22451325718,2020-06-04,0,
127,15634728,Johnson,640,France,Female,22,13,174844.70002034737,3,0,0,176598.30720486128,2022-09-29,0,
128,15634729,Smith,822,Spain,Female,84,5,105811.5249729318,2,1,1,21950.23086239107,2022-02-26,0,
129,15634730,Brown,564,Germany,Male,47,16,78736.31137609968,1,0,1,178776.7035326749,2020-10-09,0,
130,15634731,Williams,823,Spain,Female,51,48,131296.7745240728,1,1,1,153403.29623999432,2023-02-04,1,2026-08-08
131,15634732,Brown,337,France,Male,18,23,44559.392244726354,2,0,1,89618.63637653222,2021-12-22,0,
132,15634733,Jones,430,Germany,Male,44,12,180607.78672309697,2,1,0,198569.18663539336,2022-03-08,0,
133,15634734,Williams,681,Germany,Female,80,11,249329.78251640627,1,1,0,30588.895864700404,2023-03-03,1,2027-03-23
134,15634735,Smith,524,France,Female,51,28,150233.6256035066,3,1,1,152797.6223439028,2020-08-15,1,2025-06-26
135,15634736,Williams,442,Spain,Female,49,23,214114.3816455735,2,1,0,149573.1286115131,2020-01-27,0,
136,15634737,Jones,730,France,Male,88,33,43082.191991905136,2,0,0,190433.58939515662,2023-08-26,0,
137,15634738,Brown,688,Spain,Male,63,13,206267.612499237,4,0,0,168396.91214263492,2020-02-23,0,
138,15634739,Johnson,353,France,Female,85,26,226858.35122510148,3,1,0,123605.60418704363,2019-10-16,0,
139,15634740,Johnson,323,Germany,Female,74,4,209716.89065338674,2,1,0,61838.86545367963,2020-01-14,0,
140,15634741,Johnson,694,Germany,Female,39,39,156814.88395290097,2,1,0,111765.3391387467,2023-12-02,0,
141,15634742,Brown,418,Spain,Female,46,46,231595.0137721735,1,0,1,38487.36107955177,2023-02-22,0,
142,15634743,Johnson,484,France,Male,62,8,240366.75079693148,2,0,1,107943.65596363532,2019-08-19,1,2021-12-05
143,15634744,Jones,491,Spain,Female,62,15,203840.9114471253,2,0,1,54910.62263165722,2021-10-14,1,2024-09-02
144,15634745,Brown,786,Germany,Male,84,12,136778.65880637962,4,0,1,188224.90568532993,2019-02-10,0,
145,15634746,Johnson,683,Germany,Female,38,14,208824.77069811945,3,0,0,93190.44712180494,2021-11-17,0,
146,15634747,Smith,645,Spain,Male,38,35,92985.17639044768,2,0,1,46906.85356197343,2019-05-15,0,
147,15634748,Brown,772,Spain,Male,77,24,86647.85592836885,3,0,1,24273.669625750124,2019-07-20,1,2019-09-10
148,15634749,Brown,302,Spain,Male,98,15,86976.86038726599,3,1,1,79481.57208151242,2021-02-18,0,
149,15634750,Williams,349,Spain,Female,46,43,49804.558942406926,3,1,0,30407.844678689147,2021-07-18,0,
150,15634751,Johnson,803,Spain,Female,50,43,155736.2158672708,4,0,1,102676.2149768626,2021-11-22,0,
151,15634752,Smith,510,France,Female,56,30,165369.5382011144,2,1,0,28468.522524826905,2021-12-07,0,
152,15634753,Jones,827,Spain,Male,79,46,214909.90453855533,4,0,1,169990.12591281036,2020-05-17,0,
153,15634754,Brown,582,Spain,Female,88,36,173627.68637912435,3,0,1,103817.53143026317,2020-02-11,0,
154,15634755,Jones,678,Germany,Female,62,32,194984.28553988543,1,0,0,162709.7801295325,2023-05-17,0,
155,15634756,Jones,625,Germany,Female,75,19,172208.0290939731,2,1,1,85533.095447395,2023-10-18,0,
156,15634757,Jones,597,France,Male,90,25,174261.37688323506,2,0,0,158216.90201714783,2021-03-15,0,
157,15634758,Williams,437,Spain,Female,99,34,85137.10985503858,3,0,1,92955.33900639172,2019-04-09,0,
158,15634759,Jones,424,Spain,Male,18,39,241471.19367209234,3,0,0,140848.381071426,2020-11-14,1,2025-02-17
159,15634760,Johnson,691,Germany,Male,28,6,159697.71561609872,3,0,0,148383.8110873854,2020-12-26,1,2025-02-04
160,15634761,Johnson,701,Germany,Female,49,44,146784.130723533,3,1,1,128446.50450896377,2023-04-20,1,2025-07-23
161,15634762,Smith,779,Germany,Female,91,41,211804.17819976396,1,1,1,29934.342111099082,2021-08-18,1,2023-01-25
162,15634763,Smith,700,Spain,Male,66,30,105239.01221735732,4,1,1,86070.59482082029,2023-10-29,0,
163,15634764,Jones,661,Spain,Female,93,16,24063.12395067292,2,1,0,159812.6678168029,2020-09-04,0,
164,15634765,Jones,365,France,Male,47,42,60025.64350230022,3,1,0,186443.59657259265,2023-01-25,0,
165,15634766,Williams,727,Germany,Male,77,7,202022.92274535005,4,0,0,138886.95847612445,2020-10-04,1,2023-04-21
166,15634767,Jones,820,Germany,Male,27,22,182953.5960520445,1,1,0,194122.30169493856,2023-11-28,0,
167,15634768,Jones,731,Germany,Female,93,46,29297.19607017925,4,1,1,69384.20184421833,2021-10-25,0,
168,15634769,Jones,404,Germany,Male,38,43,17413.180888956133,3,1,0,44542.63488572496,2022-05-26,1,2023-08-23
169,15634770,Brown,388,Germany,Male,23,17,155476.54853642455,4,1,1,79022.30576269925,2020-05-17,0,
170,15634771,Brown,305,Spain,Female,55,41,234662.0625310268,4,1,0,142059.71880438764,2021-02-05,0,
171,15634772,Williams,457,Spain,Male,75,11,43730.17091593742,1,1,1,90289.41969262864,2020-02-02,0,
172,15634773,Williams,678,Germany,Male,25,29,137255.53989615638,2,0,0,138643.1811051838,2021-05-20,0,
173,15634774,Johnson,629,Germany,Female,87,35,202991.86085011787,1,1,0,146352.0082165103,2021-03-05,0,
174,15634775,Williams,402,Spain,Male,80,14,132173.16249232503,3,0,1,130513.57553154563,2020-01-28,0,
175,15634776,Johnson,522,Spain,Female,51,17,87781.60124802323,2,1,1,160193.030978057,2019-07-26,0,
176,15634777,Jones,701,France,Female,66,24,197643.27760217385,4,0,1,61965.419355202466,2021-11-04,1,2023-11-03
177,15634778,Williams,844,Spain,Male,57,12,192806.48709751296,3,0,0,39745.82779042175,2023-04-27,0,
178,15634779,Williams,808,France,Female,46,23,207621.34806531318,4,0,0,28686.0846716509,2021-06-10,0,
179,15634780,Williams,483,Germany,Male,26,16,236275.47026197254,4,1,1,195697.56382670038,2023-01-24,0,
180,15634781,Johnson,386,Germany,Female,38,0,37657.778478144995,4,0,1,149207.73594527104,2023-09-11,0,
181,15634782,Johnson,679,Germany,Male,49,36,85195.20383518269,4,1,1,62919.035691909165,2023-05-18,0,
182,15634783,Smith,837,Spain,Female,89,48,246496.82853489852,4,0,1,105847.73350456885,2021-05-13,0,
183,15634784,Johnson,712,Spain,Male,72,26,148634.06376426748,2,0,0,31202.819047640194,2021-01-12,0,
184,15634785,Johnson,817,Germany,Male,60,19,167532.48412559196,3,1,0,139650.2244864519,2022-06-18,0,
185,15634786,Brown,594,Germany,Female,27,17,221023.8137363244,1,0,1,194079.3499573009,2020-07-17,0,
186,15634787,Williams,559,France,Male,66,8,172761.0256481838,4,1,1,147048.69736251983,2021-10-17,0,
187,15634788,Johnson,683,Spain,Male,30,9,170808.4097482858,2,0,1,132063.4213137835,2019-04-06,0,
188,15634789,Williams,603,Spain,Female,58,24,26125.747811987065,1,1,0,185995.5669422348,2023-10-24,0,
189,15634790,Williams,615,France,Female,96,48,126710.23136267501,1,0,1,112230.4832760984,2020-04-29,0,
190,15634791,Brown,376,Germany,Female,48,0,168298.3585860239,4,0,0,154123.37756342703,2022-12-01,1,2023-01-17
191,15634792,Williams,678,Germany,Male,49,35,201822.93482985045,3,0,1,187902.48162974507,2019-08-19,0,
192,15634793,Johnson,760,Spain,Male,62,17,103309.5241801574,4,0,1,136438.30487271235,2021-01-18,0,
193,15634794,Williams,355,Spain,Male,30,46,30883.763304666965,4,0,0,114686.48768851257,2023-08-06,0,
194,15634795,Smith,380,Germany,Female,42,14,91456.40629944258,2,0,1,124479.7821916996,2022-04-09,0,
195,15634796,Smith,475,France,Male,85,32,107433.83785152569,1,0,1,158500.94862555453,2020-06-24,0,
196,15634797,Brown,682,France,Male,32,21,187752.239357138,3,0,0,29338.376047838912,2021-11-25,0,
197,15634798,Johnson,448,France,Male,81,23,4945.2254255395455,3,0,0,79061.64945232996,2020-06-08,0,
198,15634799,Brown,580,Spain,Female,77,0,96449.45576716549,1,1,1,29263.164983165043,2022-03-29,0,
199,15634800,Smith,644,France,Female,25,10,111970.90406418972,4,1,1,161520.1996137038,2023-09-19,0,
200,15634801,Johnson,708,Spain,Male,91,42,137528.89895091418,1,1,0,184673.96709771102,2022-06-20,0,
201,15634802,Williams,329,Spain,Female,34,25,242499.873328279,4,0,0,91910.197940622,2022-01-14,0,
202,15634803,Johnson,721,Germany,Female,22,25,185150.5155873563,4,0,0,65374.03026184886,2023-12-25,0,
203,15634804,Jones,530,Germany,Male,30,5,55607.31542929023,4,0,1,27305.088556313796,2020-07-31,1,2024-09-06
204,15634805,Johnson,658,France,Female,38,32,158415.5774147513,1,1,1,21230.422008919933,2020-11-12,0,
205,15634806,Williams,461,France,Female,61,13,86532.01288392037,3,1,1,118151.67565292238,2020-07-10,0,
206,15634807,Jones,527,Spain,Female,93,23,202853.64350438246,4,1,0,80015.94576825286,2023-05-17,0,
207,15634808,Brown,520,Germany,Male,70,37,42767.43154556897,2,0,1,193538.85635474807,2021-10-09,0,
208,15634809,Johnson,372,Germany,Female,45,48,36125.77193579555,3,0,0,167141.31978479374,2020-10-07,0,
209,15634810,Brown,698,Spain,Female,83,40,25348.4695897892,1,0,0,101163.34160302511,2021-03-06,0,
210,15634811,Johnson,394,France,Male,38,16,136026.17097398997,3,1,1,55752.78871776133,2021-11-17,0,
211,15634812,Smith,774,France,Male,74,13,30813.76705064026,2,1,0,88900.6930710997,2023-07-02,0,
212,15634813,Smith,394,Spain,Male,72,18,10438.401146383614,3,1,0,32893.570590681935,2023-04-29,1,2027-09-29
213,15634814,Williams,423,Germany,Male,19,7,83114.01022339854,3,1,1,132089.54837267965,2022-09-25,0,
214,15634815,Smith,799,Spain,Male,82,22,199541.64577153875,3,0,1,175721.33559358676,2023-12-27,0,
215,15634816,Jones,347,Spain,Female,94,43,39018.452565763335,3,0,0,98374.40863138509,2022-09-16,1,2027-02-14
216,15634817,Jones,394,France,Male,20,1,89472.56629890845,3,0,0,106464.24618408956,2023-07-22,1,2025-05-08
217,15634818,Johnson,776,Germany,Female,76,2,108934.50859788712,1,1,1,188812.86763031615,2023-03-10,0,
218,15634819,Brown,332,France,Male,80,12,218992.535591076,2,0,1,75724.97143703139,2022-10-03,0,
219,15634820,Jones,417,France,Female,22,4,119090.84017911165,1,1,1,38303.89404739494,2023-02-05,1,2026-02-01
220,15634821,Johnson,550,Germany,Male,83,17,127988.8531755935,3,1,1,32414.83592538848,2022-06-08,0,
221,15634822,Brown,602,France,Female,35,0,63656.18897866171,4,1,1,158278.44534993134,2019-07-09,0,
222,15634823,Smith,421,Spain,Male,26,36,167135.7437658388,3,0,0,59301.90838116782,2022-06-02,0,
223,15634824,Johnson,517,Spain,Female,39,20,6415.598861602118,3,0,0,199810.78710899389,2022-11-09,0,
224,15634825,Brown,352,Germany,Female,45,43,241109.97512341745,2,0,0,193366.17425951615,2022-11-01,0,
225,15634826,Williams,425,Spain,Male,77,18,124530.07082815834,1,0,1,173679.91203616676,2022-07-30,0,
226,15634827,Williams,458,Spain,Female,29,37,15453.312992624424,1,0,1,110699.83252493419,2020-09-24,0,
227,15634828,Jones,475,Spain,Female,54,33,139792.61151588865,4,0,1,111395.80272335971,2020-09-19,0,
228,15634829,Brown,591,Spain,Male,99,1,128495.5420233519,4,0,0,187787.4261140956,2021-08-30,0,
229,15634830,Williams,458,France,Female,59,19,60175.62241391533,4,1,0,73518.6209770626,2023-11-04,1,2028-09-20
230,15634831,Jones,790,Spain,Female,71,30,52202.403086312355,3,0,1,107605.02201237618,2022-07-06,1,2025-12-20
231,15634832,Johnson,656,Germany,Male,59,12,67691.45812382152,1,0,0,92466.41544362783,2022-10-14,0,
232,15634833,Johnson,536,France,Female,84,13,32433.002423742473,4,0,0,84543.30396157698,2020-12-10,0,
233,15634834,Brown,727,Spain,Male,73,37,132855.6004284553,2,0,1,180530.8961099439,2023-01-19,0,
234,15634835,Brown,424,Spain,Female,63,11,219733.99341286565,1,1,1,150393.04233041187,2022-12-05,0,
235,15634836,Brown,614,Germany,Female,22,12,230781.8975043089,3,0,0,190002.89594863667,2020-10-10,0,
236,15634837,Brown,578,France,Female,73,23,238246.76553405347,1,1,0,32973.62587618238,2019-11-14,0,
237,15634838,Williams,404,Spain,Female,40,39,150093.5486228435,1,1,0,168907.00239146894,2023-08-28,1,2024-04-24
238,15634839,Williams,341,Germany,Male,79,30,155387.26404455365,1,0,1,79047.54218661229,2022-06-02,0,
239,15634840,Jones,696,France,Male,30,13,77629.18881895467,1,0,1,126372.68093041226,2022-06-11,0,
240,15634841,Williams,759,France,Female,76,49,221336.39284691797,4,0,1,146652.19366614235,2020-11-14,0,
241,15634842,Johnson,790,Spain,Female,45,29,122036.38501657998,2,0,1,45480.12864968756,2020-10-25,0,
242,15634843,Jones,467,Germany,Male,98,26,69827.15683705987,3,0,0,154724.9355609222,2022-10-29,0,
243,15634844,Williams,473,Germany,Male,23,35,241416.9651558234,1,1,1,81326.06971627715,2023-08-23,0,
244,15634845,Brown,671,Spain,Male,78,5,176344.53643366342,1,0,1,70139.56932973978,2023-06-20,0,
245,15634846,Williams,449,Spain,Female,78,5,116162.86173773416,4,0,0,104877.30520803458,2023-02-04,1,2024-09-20
246,15634847,Smith,548,Spain,Female,62,14,17159.208404051442,4,1,1,160928.85990721587,2022-06-10,0,
247,15634848,Jones,479,Germany,Female,29,23,35040.403410130624,1,1,1,93625.24650409647,2023-09-12,1,2026-06-09
248,15634849,Williams,419,France,Male,52,12,49119.17305887037,2,1,0,118138.81539462402,2022-02-10,0,
